KidsCompass Report
2025-01-01: Alle da
2025-01-07: Alle da
2025-01-08: Alle da
2025-01-14: Alle da
2025-01-15: Alle da
2025-01-17: Alle da
2025-01-18: Alle da
2025-01-19: Alle da
2025-01-21: Alle da
2025-01-22: Alle da
2025-01-28: Alle da
2025-01-29: Alle da
2025-01-31: Alle da
2025-02-01: Alle da
2025-02-02: Alle da
2025-02-04: Alle da
2025-02-05: Alle da
2025-02-11: Alle da
2025-02-12: Alle da
2025-02-14: Alle da
2025-02-15: Alle da
2025-02-16: Alle da
2025-02-18: Alle da
2025-02-19: Alle da
2025-02-25: Alle da
2025-02-26: Alle da
2025-02-28: Alle da
2025-03-01: Alle da
2025-03-02: Alle da
2025-03-04: Alle da
2025-03-05: Alle da
2025-03-11: Alle da
2025-03-12: Alle da
2025-03-14: Alle da
2025-03-15: Alle da
2025-03-16: Alle da
2025-03-18: Alle da
2025-03-19: Alle da
2025-03-25: Alle da
2025-03-26: Alle da
2025-03-28: Alle da
2025-03-29: Alle da
2025-03-30: Alle da
2025-04-01: Kind A fehlt
2025-04-02: Kind A fehlt
2025-04-08: Kein Kind
2025-04-09: Kein Kind
2025-04-11: Alle da
2025-04-20: Alle da
2025-04-21: Kind B fehlt
2025-04-22: Alle da
2025-04-23: Kind B fehlt
